song,artist
Keep On Loving You,REO Speedwagon
Don't Stand So Close to Me,The Police
Another Brick in the Wall,Pink Floyd
Love Stinks,The J. Geils Band
Funkytown,"Lipps, Inc"
Crying,Don McLean
Morning Train (Nine to Five),Sheena Easton
Masterblaster,Stevie Wonder
(Just Like) Starting Over,John Lennon
Off the Wall,Michael Jackson
Magic,Olivia Newton-John
More Than I Can Say,Leo Sayer
Call Me,Blondie
Xanadu,Olivia Newton-John & Electric Light Orchestra
Kiss on My List,Hall & Oates
Lookin' for Love,Johnny Lee
Special Lady,"Ray, Goodman & Brown"
On the Radio,Donna Summer
It's Still Rock and Roll to Me,Billy Joel
Let Me Be the Clock,Smokey Robinson
All Out of Love,Air Supply
We Live for Love,Pat Benatar
Emotional Rescue,The Rolling Stones
Tired of Toein' the Line,Rocky Burnette
Antmusic,Adam and the Ants
Train in Vain,The Clash
Sailing,Christopher Cross
Shining Star,The Manhattans
Tide Is High,Blondie
Little Jeannie,Elton John
Brass in Pocket,Pretenders
Come Back,The J. Geils Band
Passion,Rod Stewart
Hold On to My Love,Jimmy Ruffin
The Wanderer,Donna Summer
Ride Like the Wind,Christopher Cross
Atomic,Blondie
Lady,Whispers
Dog Eat Dog,Adam and the Ants
Upside Down,Diana Ross
Hungry Heart,Bruce Springsteen
Dirty Deeds Done Dirt Cheap,AC/DC
Lovely One,"Jacksons, The"
Him,Rupert Holmes
Celebration,Kool And The Gang
Late in the Evening,Paul Simon
She's Out Of My Life,Michael Jackson
Lost in Love,Air Supply
How Does It Feel to Be Back,Hall & Oates
Ashes to Ashes,David Bowie
Geno,Dexys Midnight Runners
Against the Wind,Bob Seger
Drivin' My Life Away,Eddie
And the Beat Goes On,Whispers
Desire,Andy Gibb
Stand by Me,Mickey Gilley
Modern Girl,Sheena Easton
Refugee,Tom Petty and the Heartbreakers
Start!,The Jam
Every Woman in the World,Air Supply
Hurt So Bad,Linda Ronstadt
Real Love,The Doobie Brothers
Fire Lake,Bob Seger
Crazy Train,Ozzy Osbourne
I Can't Tell You Why,Eagles
Coming Up,Paul McCartney
All Night Long,Joe Walsh
"De Do Do Do, De Da Da Da",The Police
I'm Alright,Kenny Loggins
Let Me Love You Tonight,Pure Prairie League
(Ghost) Riders in the Sky,The Outlaws 
Turning Japanese,The Vapors
Same Old Lang Syne,Dan Fogelberg
I'm Alive,Electric Light Orchestra
Tell It Like It Is,Heart
All Over the World,Electric Light Orchestra
Games without Frontiers,Peter Gabriel
Suddenly,Cliff Richard & Olivia Newton-John
How Do I Make You,Linda Ronstadt
Banana Republic,The Boomtown Rats
Fashion,David Bowie
You May Be Right,Billy Joel
Someone's Looking at You,The Boomtown Rats
Over You,Roxy Music
Hit Me with Your Best Shot,Pat Benatar
Ah! Leah!,Donnie Iris
Let My Love Open the Door,Pete Townshend
To Cut a Long Story Short,Spandau Ballet
Oh Yeah (On the Radio),Roxy Music
Hey Nineteen,Steely Dan
We Are Glass,Gary Numan
Babooshka,Kate Bush
Never Be the Same,Christopher Cross
I Die: You Die,Gary Numan
Jesse,Carly Simon
So Lonely,The Police
Dreamer,Supertramp
Misunderstanding,Genesis
Turn It On Again,Genesis
Whip It,Devo
Start Me Up,The Rolling Stones
I Love Rock 'n Roll,Joan Jett
Centerfold,J. Geils Band
Don't You Want Me,The Human League
867-5309 / Jenny,Tommy Tutone
Urgent,Foreigner
Every Little Thing She Does Is Magic,The Police
Tainted Love,Soft Cell
Harden My Heart,Quarterflash
I Can't Go for That (No Can Do),Hall & Oates
Waiting for a Girl Like You,Foreigner
Shake It Up,The Cars
Tryin' to Live My Life without You,Bob Seger
You Better You Bet,The Who
The Waiting,Tom Petty and the Heartbreakers
Burnin' For You,Blue Oyster Cult
The Voice,The Moody Blues
In the Air Tonight,Phil Collins
Hold On Tight,Electric Light Orchestra
I Can't Stand It,Eric Clapton
Rock This Town,Stray Cats
Freeze-Frame,J. Geils Band
Stop Draggin' My Heart Around,Stevie Nicks
In The Heartland,Michael Stanley Band
Another Tricky Day,The Who
Young Turks,Rod Stewart
Talk To Ya Later,The Tubes
Bette Davis Eyes,Kim Carnes
Spirits in the Material World,The Police
While You See a Chance,Steve Winwood
Fire and Ice,Pat Benatar
Rockin' The Paradise,Styx
A Life of Illusion,Joe Walsh
Too Much Time on My Hands,Styx
Working for the Weekend,Loverboy
Fly Away,Blackfoot
Winning,Santana
Heading Out To The Highway,Judas Priest
Lunatic Fringe,Red Rider
Straight From The Heart,The Allman Brothers Band
Find Your Way Back,Jefferson Starship
Meanwhile,The Moody Blues
Arc Of A Diver,Steve Winwood
Just Between You And Me,April Wine
Who's Crying Now,Journey
Hang Fire,The Rolling Stones
No Reply at All,Genesis
Don't Stand So Close To Me (1981 Version),The Police
Abacab,Genesis
Kids in America,Kim Wilde
The Stroke,Billy Squier
Better Things,The Kinks
Juke Box Hero,Foreigner
Stray Cat Strut,Stray Cats
The Adultress,The Pretenders
Edge Of Sundown,Danny Joe Brown and the Danny Joe Brown Band
Little Sister,Rockpile with Robert Plant
Mean Street,Van Halen
Flying High Again,Ozzy Osbourne
Breaking All The Rules,Peter Frampton
For Those About to Rock (We Salute You),AC/DC
Stone In Love,Journey
Jealous Lover,Rainbow
Unchained,Van Halen
All Those Years Ago,George Harrison
The One That You Love,Air Supply
Time Out Of Mind,Steely Dan
Night Life,Foreigner
Under Pressure,Queen & David Bowie
Rock And Roll Dreams Come Through,Jim Steinman (with Rory Dodd)
I Have The Skill,Sherbs
Take It on the Run,REO Speedwagon
The Party's Over (Hopelessly in Love),Journey
Leather and Lace,Stevie Nicks
Fade Away,Bruce Springsteen
Waiting on a Friend,The Rolling Stones
Our Lips Are Sealed,The Go-Go's
So This Is Love?,Van Halen
Jessie's Girl,Rick Springfield
Just Like Me,Pat Benatar
Stand and Deliver,Adam and the Ants
Live Now-Pay Later,Foghat
For You,Manfred Mann's Earth Band
Let's Get It Up,AC/DC
Promises In The Dark,Pat Benatar
Arthur's Theme (Best That You Can Do),Christopher Cross
The Breakup Song (They Don't Write 'Em),Greg Kihn Band
Stranger,Jefferson Starship
This Little Girl,Gary U.S. Bonds
Heart Like A Wheel,Steve Miller Band
Fight The Good Fight,Triumph
Alien,Atlanta Rhythm Section
A Woman's Got The Power,The A's
Rita Mae,Eric Clapton and his Band
Almost Saturday Night,Dave Edmunds
Every Breath You Take,The Police
I Love Rock 'N Roll,Joan Jett & The Blackhearts
Hungry Like the Wolf,Duran Duran
Eye of the Tiger,Survivor
Down Under,Men at Work
Come On Eileen,Dexys Midnight Runners
Heat of the Moment,Asia
Do You Really Want to Hurt Me?,Culture Club
Hurts So Good,John Mellencamp
She's a Beauty,The Tubes
Back on the Chain Gang,The Pretenders
Dirty Laundry,Don Henley
Photograph,Def Leppard
Jack and Diane,John Mellencamp 
Working For The Weekend,Loverboy
Twilight Zone,Golden Earring
Our House,Madness
Everybody Wants You,Billy Squier
Hard to Say I'm Sorry,Chicago
Africa,Toto
Rock of Ages,Def Leppard
For Those About To Rock (We Salute You),AC/DC
New World Man,Rush
She Blinded Me with Science,Thomas Dolby
Abracadabra,Steve Miller Band
(Oh) Pretty Woman,Van Halen
You Got Lucky,Tom Petty and the Heartbreakers
 Partytown,Glenn Frey
Time (Clock of the Heart),Culture Club
Testify,Greg Kihn Band
Think I'm in Love,Eddie Money
Caught Up In You,38 Special
Livin' In The Limelight,Peter Cetera
I Ran (So Far Away),A Flock of Seagulls
Rio,Duran Duran
Spirits In The Material World,The Police
We Got the Beat,The Go-Go's
Wishing (If I Had A Photograph Of You),A Flock of Seagulls
Addicted,Le Roux
Crimson and Clover,Joan Jett
You Keep Runnin' Away,38 Special
Keep the Fire Burnin',REO Speedwagon
Shock the Monkey,Peter Gabriel
Stone Cold,Rainbow
Hold Me,Fleetwood Mac
No One Like You,Scorpions
Don't Let Him Know,Prism
Your Love Is Driving Me Crazy,Sammy Hagar
Waiting On A Friend,The Rolling Stones
Chain Lightnin',38 Special
Industrial Disease,Dire Straits
Love Is Like A Rock,Donnie Iris
